127.0.0.1 - - [24/Feb/2020:09:34:29 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:31 +0900] "GET /sht_webapp/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/cmm/main/mainPage.do;jsessionid=CC4A4E2E0C9AF25D2A76FE954E857E07 HTTP/1.1" 200 8281
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/header/logo.jpg HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_subtitle02.gif HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/btn_more.gif HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_subtitle01.gif HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_product.gif HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_service.gif HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_download.gif HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/main_titleimage.gif HTTP/1.1" 200 22935
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/question.jpg HTTP/1.1" 200 19067
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/css/common.css HTTP/1.1" 200 22158
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_location.gif HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_vline.gif HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_service_btm.gif HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/img_schedule.gif HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/footer/img_nia.png HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/footer/img_mois.png HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/header/img_loginright_leftbg.gif HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/header/img_loginright_middlebg.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/header/img_loginright_rightbg.gif HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:33 +0900] "GET /sht_webapp/images/index/bg_bottom.gif HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:55 +0900] "GET /sht_webapp/uat/uia/egovLoginUsr.do HTTP/1.1" 200 11257
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:55 +0900] "GET /sht_webapp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:55 +0900] "GET /sht_webapp/images/header/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:55 +0900] "GET /sht_webapp/css/login.css HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:34:55 +0900] "GET /sht_webapp/images/question.jpg HTTP/1.1" 304 -
