192.168.0.13 - - [21/Nov/2019:18:03:01 +0900] "GET /MSK_msg.txt HTTP/1.1" 304 -
192.168.0.5 - - [21/Nov/2019:18:14:59 +0900] "GET /MSK_msg.txt HTTP/1.1" 200 59
192.168.0.14 - - [21/Nov/2019:18:15:54 +0900] "GET / HTTP/1.1" 200 11415
192.168.0.14 - - [21/Nov/2019:18:15:54 +0900] "GET /tomcat.css HTTP/1.1" 200 5931
192.168.0.14 - - [21/Nov/2019:18:15:54 +0900] "GET /tomcat.png HTTP/1.1" 200 5103
192.168.0.14 - - [21/Nov/2019:18:15:54 +0900] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.0.14 - - [21/Nov/2019:18:15:55 +0900] "GET /bg-middle.png HTTP/1.1" 200 1918
192.168.0.14 - - [21/Nov/2019:18:15:55 +0900] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.0.14 - - [21/Nov/2019:18:15:55 +0900] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
192.168.0.14 - - [21/Nov/2019:18:15:55 +0900] "GET /bg-button.png HTTP/1.1" 200 713
192.168.0.14 - - [21/Nov/2019:18:15:55 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.0.14 - - [21/Nov/2019:18:18:09 +0900] "GET /MSK_msg.txt HTTP/1.1" 200 59
